# D:\LD-Cycling_2018-08-08_Edited\LD-Cycling_2018-08-08.txt generated by flexImaging 4.1.116.257 on 2019-09-09 17:15:19
# X-pos Y-pos spot-name region
-18742 15409 R00X101Y053 A
-18442 15409 R00X102Y053 A
-18142 15409 R00X103Y053 A
-17842 15409 R00X104Y053 A
-17542 15409 R00X105Y053 A
-17242 15409 R00X106Y053 A
-16942 15409 R00X107Y053 A
-16642 15409 R00X108Y053 A
-16342 15409 R00X109Y053 A
-18742 15109 R00X101Y054 A
-18442 15109 R00X102Y054 A
-18142 15109 R00X103Y054 A
-17842 15109 R00X104Y054 A
-17542 15109 R00X105Y054 A
-17242 15109 R00X106Y054 A
-16942 15109 R00X107Y054 A
-16642 15109 R00X108Y054 A
-16342 15109 R00X109Y054 A
-18742 14809 R00X101Y055 A
-18442 14809 R00X102Y055 A
-18142 14809 R00X103Y055 A
-17842 14809 R00X104Y055 A
-17542 14809 R00X105Y055 A
-17242 14809 R00X106Y055 A
-16942 14809 R00X107Y055 A
-16642 14809 R00X108Y055 A
-16342 14809 R00X109Y055 A
-18742 14509 R00X101Y056 A
-18442 14509 R00X102Y056 A
-18142 14509 R00X103Y056 A
-17842 14509 R00X104Y056 A
-17542 14509 R00X105Y056 A
-17242 14509 R00X106Y056 A
-16942 14509 R00X107Y056 A
-16642 14509 R00X108Y056 A
-16342 14509 R00X109Y056 A
-18742 14209 R00X101Y057 A
-18442 14209 R00X102Y057 A
-18142 14209 R00X103Y057 A
-17842 14209 R00X104Y057 A
-17542 14209 R00X105Y057 A
-17242 14209 R00X106Y057 A
-16942 14209 R00X107Y057 A
-16642 14209 R00X108Y057 A
-16342 14209 R00X109Y057 A
-18742 13909 R00X101Y058 A
-18442 13909 R00X102Y058 A
-18142 13909 R00X103Y058 A
-17842 13909 R00X104Y058 A
-17542 13909 R00X105Y058 A
-17242 13909 R00X106Y058 A
-16942 13909 R00X107Y058 A
-16642 13909 R00X108Y058 A
-16342 13909 R00X109Y058 A
-18742 13609 R00X101Y059 A
-18442 13609 R00X102Y059 A
