# G:\vitek_sdgmm_preprint\PA14_TLCA_2 DAYS_2016-06-09.txt generated by flexImaging 4.1.116.257 on 2019-08-01 10:50:31
# X-pos Y-pos spot-name region
-23776 13416 R00X016Y014 PA14
-23276 13416 R00X017Y014 PA14
-22776 13416 R00X018Y014 PA14
-22276 13416 R00X019Y014 PA14
-21776 13416 R00X020Y014 PA14
-21276 13416 R00X021Y014 PA14
-20776 13416 R00X022Y014 PA14
-20276 13416 R00X023Y014 PA14
-19776 13416 R00X024Y014 PA14
-19276 13416 R00X025Y014 PA14
-18776 13416 R00X026Y014 PA14
-18276 13416 R00X027Y014 PA14
-17776 13416 R00X028Y014 PA14
-17276 13416 R00X029Y014 PA14
-16776 13416 R00X030Y014 PA14
-16276 13416 R00X031Y014 PA14
-15776 13416 R00X032Y014 PA14
-15276 13416 R00X033Y014 PA14
-14776 13416 R00X034Y014 PA14
-14276 13416 R00X035Y014 PA14
-13776 13416 R00X036Y014 PA14
-13276 13416 R00X037Y014 PA14
-12776 13416 R00X038Y014 PA14
-12276 13416 R00X039Y014 PA14
-11776 13416 R00X040Y014 PA14
-11276 13416 R00X041Y014 PA14
-10776 13416 R00X042Y014 PA14
-10276 13416 R00X043Y014 PA14
-9776 13416 R00X044Y014 PA14
-9276 13416 R00X045Y014 PA14
-8776 13416 R00X046Y014 PA14
-8276 13416 R00X047Y014 PA14
-7776 13416 R00X048Y014 PA14
-7276 13416 R00X049Y014 PA14
-6776 13416 R00X050Y014 PA14
-6276 13416 R00X051Y014 PA14
-5776 13416 R00X052Y014 PA14
-5276 13416 R00X053Y014 PA14
-4776 13416 R00X054Y014 PA14
-4276 13416 R00X055Y014 PA14
-3776 13416 R00X056Y014 PA14
-3276 13416 R00X057Y014 PA14
-2776 13416 R00X058Y014 PA14
-2276 13416 R00X059Y014 PA14
-1776 13416 R00X060Y014 PA14
-1276 13416 R00X061Y014 PA14
-776 13416 R00X062Y014 PA14
-23776 12916 R00X016Y015 PA14
-23276 12916 R00X017Y015 PA14
-22776 12916 R00X018Y015 PA14
-22276 12916 R00X019Y015 PA14
-21776 12916 R00X020Y015 PA14
-21276 12916 R00X021Y015 PA14
-20776 12916 R00X022Y015 PA14
-20276 12916 R00X023Y015 PA14
-19776 12916 R00X024Y015 PA14
-19276 12916 R00X025Y015 PA14
-18776 12916 R00X026Y015 PA14
-18276 12916 R00X027Y015 PA14
-17776 12916 R00X028Y015 PA14
-17276 12916 R00X029Y015 PA14
-16776 12916 R00X030Y015 PA14
-16276 12916 R00X031Y015 PA14
-15776 12916 R00X032Y015 PA14
-15276 12916 R00X033Y015 PA14
-14776 12916 R00X034Y015 PA14
-14276 12916 R00X035Y015 PA14
-13776 12916 R00X036Y015 PA14
-13276 12916 R00X037Y015 PA14
-12776 12916 R00X038Y015 PA14
-12276 12916 R00X039Y015 PA14
-11776 12916 R00X040Y015 PA14
-11276 12916 R00X041Y015 PA14
-10776 12916 R00X042Y015 PA14
-10276 12916 R00X043Y015 PA14
-9776 12916 R00X044Y015 PA14
-9276 12916 R00X045Y015 PA14
-8776 12916 R00X046Y015 PA14
-8276 12916 R00X047Y015 PA14
-7776 12916 R00X048Y015 PA14
-7276 12916 R00X049Y015 PA14
-6776 12916 R00X050Y015 PA14
-6276 12916 R00X051Y015 PA14
-5776 12916 R00X052Y015 PA14
-5276 12916 R00X053Y015 PA14
-4776 12916 R00X054Y015 PA14
-4276 12916 R00X055Y015 PA14
-3776 12916 R00X056Y015 PA14
-3276 12916 R00X057Y015 PA14
-2776 12916 R00X058Y015 PA14
-2276 12916 R00X059Y015 PA14
-1776 12916 R00X060Y015 PA14
-1276 12916 R00X061Y015 PA14
-776 12916 R00X062Y015 PA14
-23776 12416 R00X016Y016 PA14
-23276 12416 R00X017Y016 PA14
-22776 12416 R00X018Y016 PA14
-22276 12416 R00X019Y016 PA14
-21776 12416 R00X020Y016 PA14
-21276 12416 R00X021Y016 PA14
-20776 12416 R00X022Y016 PA14
-20276 12416 R00X023Y016 PA14
-19776 12416 R00X024Y016 PA14
-19276 12416 R00X025Y016 PA14
-18776 12416 R00X026Y016 PA14
-18276 12416 R00X027Y016 PA14
-17776 12416 R00X028Y016 PA14
-17276 12416 R00X029Y016 PA14
-16776 12416 R00X030Y016 PA14
-16276 12416 R00X031Y016 PA14
-15776 12416 R00X032Y016 PA14
-15276 12416 R00X033Y016 PA14
-14776 12416 R00X034Y016 PA14
-14276 12416 R00X035Y016 PA14
-13776 12416 R00X036Y016 PA14
-13276 12416 R00X037Y016 PA14
-12776 12416 R00X038Y016 PA14
-12276 12416 R00X039Y016 PA14
-11776 12416 R00X040Y016 PA14
-11276 12416 R00X041Y016 PA14
-10776 12416 R00X042Y016 PA14
-10276 12416 R00X043Y016 PA14
-9776 12416 R00X044Y016 PA14
-9276 12416 R00X045Y016 PA14
-8776 12416 R00X046Y016 PA14
-8276 12416 R00X047Y016 PA14
-7776 12416 R00X048Y016 PA14
-7276 12416 R00X049Y016 PA14
-6776 12416 R00X050Y016 PA14
-6276 12416 R00X051Y016 PA14
-5776 12416 R00X052Y016 PA14
-5276 12416 R00X053Y016 PA14
-4776 12416 R00X054Y016 PA14
