# C:\Users\Gordon\Downloads\PA14_TLCA_2017-09-21\PA14_TLCA_2017-09-21\PA14_TLCA_2017-09-21.txt generated by flexImaging 4.1.116.257 on 2020-03-21 16:13:02
# X-pos Y-pos spot-name region
-8979 14923 R00X151Y066 01
-8779 14923 R00X152Y066 01
-8579 14923 R00X153Y066 01
-8379 14923 R00X154Y066 01
-8179 14923 R00X155Y066 01
-7979 14923 R00X156Y066 01
-7779 14923 R00X157Y066 01
-7579 14923 R00X158Y066 01
-7379 14923 R00X159Y066 01
-7179 14923 R00X160Y066 01
-12779 14723 R00X132Y067 01
-12579 14723 R00X133Y067 01
-12379 14723 R00X134Y067 01
-12179 14723 R00X135Y067 01
-11979 14723 R00X136Y067 01
-11779 14723 R00X137Y067 01
-11579 14723 R00X138Y067 01
-11379 14723 R00X139Y067 01
-11179 14723 R00X140Y067 01
-10979 14723 R00X141Y067 01
-10779 14723 R00X142Y067 01
-10579 14723 R00X143Y067 01
-10379 14723 R00X144Y067 01
-10179 14723 R00X145Y067 01
-9979 14723 R00X146Y067 01
-9779 14723 R00X147Y067 01
-9579 14723 R00X148Y067 01
-9379 14723 R00X149Y067 01
-9179 14723 R00X150Y067 01
-8979 14723 R00X151Y067 01
-8779 14723 R00X152Y067 01
-8579 14723 R00X153Y067 01
-8379 14723 R00X154Y067 01
-8179 14723 R00X155Y067 01
-7979 14723 R00X156Y067 01
-7779 14723 R00X157Y067 01
-7579 14723 R00X158Y067 01
-7379 14723 R00X159Y067 01
-7179 14723 R00X160Y067 01
-6979 14723 R00X161Y067 01
-6779 14723 R00X162Y067 01
-6579 14723 R00X163Y067 01
-16779 14523 R00X112Y068 01
-16579 14523 R00X113Y068 01
-16379 14523 R00X114Y068 01
-16179 14523 R00X115Y068 01
-15979 14523 R00X116Y068 01
-15779 14523 R00X117Y068 01
-15579 14523 R00X118Y068 01
-15379 14523 R00X119Y068 01
-15179 14523 R00X120Y068 01
-14979 14523 R00X121Y068 01
-14779 14523 R00X122Y068 01
-14579 14523 R00X123Y068 01
-14379 14523 R00X124Y068 01
-14179 14523 R00X125Y068 01
-13979 14523 R00X126Y068 01
-13779 14523 R00X127Y068 01
-13579 14523 R00X128Y068 01
-13379 14523 R00X129Y068 01
-13179 14523 R00X130Y068 01
-12979 14523 R00X131Y068 01
-12779 14523 R00X132Y068 01
-12579 14523 R00X133Y068 01
-12379 14523 R00X134Y068 01
-12179 14523 R00X135Y068 01
-11979 14523 R00X136Y068 01
-11779 14523 R00X137Y068 01
-11579 14523 R00X138Y068 01
-11379 14523 R00X139Y068 01
-11179 14523 R00X140Y068 01
-10979 14523 R00X141Y068 01
-10779 14523 R00X142Y068 01
-10579 14523 R00X143Y068 01
-10379 14523 R00X144Y068 01
-10179 14523 R00X145Y068 01
-9979 14523 R00X146Y068 01
-9779 14523 R00X147Y068 01
-9579 14523 R00X148Y068 01
-9379 14523 R00X149Y068 01
-9179 14523 R00X150Y068 01
-8979 14523 R00X151Y068 01
-8779 14523 R00X152Y068 01
-8579 14523 R00X153Y068 01
-8379 14523 R00X154Y068 01
-8179 14523 R00X155Y068 01
-7979 14523 R00X156Y068 01
-7779 14523 R00X157Y068 01
-7579 14523 R00X158Y068 01
-7379 14523 R00X159Y068 01
-7179 14523 R00X160Y068 01
-6979 14523 R00X161Y068 01
-6779 14523 R00X162Y068 01
-6579 14523 R00X163Y068 01
-6379 14523 R00X164Y068 01
-6179 14523 R00X165Y068 01
-5979 14523 R00X166Y068 01
-20779 14323 R00X092Y069 01
-20579 14323 R00X093Y069 01
-20379 14323 R00X094Y069 01
-20179 14323 R00X095Y069 01
