# G:\vitek_sdgmm_preprint\PA14_TLCA_2018-01-12.txt generated by flexImaging 4.1.116.257 on 2019-08-01 10:52:08
# X-pos Y-pos spot-name region
-3331 12441 R00X078Y039 PA14_MeOH
-2831 12441 R00X079Y039 PA14_MeOH
-22831 11941 R00X039Y040 PA14_MeOH
-22331 11941 R00X040Y040 PA14_MeOH
-21831 11941 R00X041Y040 PA14_MeOH
-21331 11941 R00X042Y040 PA14_MeOH
-20831 11941 R00X043Y040 PA14_MeOH
-20331 11941 R00X044Y040 PA14_MeOH
-19831 11941 R00X045Y040 PA14_MeOH
-19331 11941 R00X046Y040 PA14_MeOH
-18831 11941 R00X047Y040 PA14_MeOH
-18331 11941 R00X048Y040 PA14_MeOH
-17831 11941 R00X049Y040 PA14_MeOH
-17331 11941 R00X050Y040 PA14_MeOH
-16831 11941 R00X051Y040 PA14_MeOH
-16331 11941 R00X052Y040 PA14_MeOH
-15831 11941 R00X053Y040 PA14_MeOH
-15331 11941 R00X054Y040 PA14_MeOH
-14831 11941 R00X055Y040 PA14_MeOH
-14331 11941 R00X056Y040 PA14_MeOH
-13831 11941 R00X057Y040 PA14_MeOH
-13331 11941 R00X058Y040 PA14_MeOH
-12831 11941 R00X059Y040 PA14_MeOH
-5831 11941 R00X073Y040 PA14_MeOH
-5331 11941 R00X074Y040 PA14_MeOH
-4831 11941 R00X075Y040 PA14_MeOH
-4331 11941 R00X076Y040 PA14_MeOH
-3831 11941 R00X077Y040 PA14_MeOH
-3331 11941 R00X078Y040 PA14_MeOH
-2831 11941 R00X079Y040 PA14_MeOH
-2331 11941 R00X080Y040 PA14_MeOH
-24831 11441 R00X035Y041 PA14_MeOH
-24331 11441 R00X036Y041 PA14_MeOH
-23831 11441 R00X037Y041 PA14_MeOH
-23331 11441 R00X038Y041 PA14_MeOH
-22831 11441 R00X039Y041 PA14_MeOH
-22331 11441 R00X040Y041 PA14_MeOH
-21831 11441 R00X041Y041 PA14_MeOH
-21331 11441 R00X042Y041 PA14_MeOH
-20831 11441 R00X043Y041 PA14_MeOH
-20331 11441 R00X044Y041 PA14_MeOH
-19831 11441 R00X045Y041 PA14_MeOH
-19331 11441 R00X046Y041 PA14_MeOH
-18831 11441 R00X047Y041 PA14_MeOH
-18331 11441 R00X048Y041 PA14_MeOH
-17831 11441 R00X049Y041 PA14_MeOH
-17331 11441 R00X050Y041 PA14_MeOH
-16831 11441 R00X051Y041 PA14_MeOH
-16331 11441 R00X052Y041 PA14_MeOH
-15831 11441 R00X053Y041 PA14_MeOH
-15331 11441 R00X054Y041 PA14_MeOH
-14831 11441 R00X055Y041 PA14_MeOH
-14331 11441 R00X056Y041 PA14_MeOH
-13831 11441 R00X057Y041 PA14_MeOH
-13331 11441 R00X058Y041 PA14_MeOH
-12831 11441 R00X059Y041 PA14_MeOH
-12331 11441 R00X060Y041 PA14_MeOH
-11831 11441 R00X061Y041 PA14_MeOH
-11331 11441 R00X062Y041 PA14_MeOH
-10831 11441 R00X063Y041 PA14_MeOH
-10331 11441 R00X064Y041 PA14_MeOH
-9831 11441 R00X065Y041 PA14_MeOH
-9331 11441 R00X066Y041 PA14_MeOH
-8831 11441 R00X067Y041 PA14_MeOH
-8331 11441 R00X068Y041 PA14_MeOH
-7831 11441 R00X069Y041 PA14_MeOH
-7331 11441 R00X070Y041 PA14_MeOH
-6831 11441 R00X071Y041 PA14_MeOH
-6331 11441 R00X072Y041 PA14_MeOH
-5831 11441 R00X073Y041 PA14_MeOH
-5331 11441 R00X074Y041 PA14_MeOH
-4831 11441 R00X075Y041 PA14_MeOH
-4331 11441 R00X076Y041 PA14_MeOH
-3831 11441 R00X077Y041 PA14_MeOH
-3331 11441 R00X078Y041 PA14_MeOH
-2831 11441 R00X079Y041 PA14_MeOH
-2331 11441 R00X080Y041 PA14_MeOH
-24831 10941 R00X035Y042 PA14_MeOH
-24331 10941 R00X036Y042 PA14_MeOH
-23831 10941 R00X037Y042 PA14_MeOH
-23331 10941 R00X038Y042 PA14_MeOH
-22831 10941 R00X039Y042 PA14_MeOH
-22331 10941 R00X040Y042 PA14_MeOH
-21831 10941 R00X041Y042 PA14_MeOH
-21331 10941 R00X042Y042 PA14_MeOH
-20831 10941 R00X043Y042 PA14_MeOH
-20331 10941 R00X044Y042 PA14_MeOH
-19831 10941 R00X045Y042 PA14_MeOH
-19331 10941 R00X046Y042 PA14_MeOH
-18831 10941 R00X047Y042 PA14_MeOH
-18331 10941 R00X048Y042 PA14_MeOH
-17831 10941 R00X049Y042 PA14_MeOH
-17331 10941 R00X050Y042 PA14_MeOH
-16831 10941 R00X051Y042 PA14_MeOH
-16331 10941 R00X052Y042 PA14_MeOH
-15831 10941 R00X053Y042 PA14_MeOH
-15331 10941 R00X054Y042 PA14_MeOH
-14831 10941 R00X055Y042 PA14_MeOH
-14331 10941 R00X056Y042 PA14_MeOH
-13831 10941 R00X057Y042 PA14_MeOH
-13331 10941 R00X058Y042 PA14_MeOH
-12831 10941 R00X059Y042 PA14_MeOH
-12331 10941 R00X060Y042 PA14_MeOH
-11831 10941 R00X061Y042 PA14_MeOH
-11331 10941 R00X062Y042 PA14_MeOH
-10831 10941 R00X063Y042 PA14_MeOH
-10331 10941 R00X064Y042 PA14_MeOH
-9831 10941 R00X065Y042 PA14_MeOH
-9331 10941 R00X066Y042 PA14_MeOH
-8831 10941 R00X067Y042 PA14_MeOH
-8331 10941 R00X068Y042 PA14_MeOH
-7831 10941 R00X069Y042 PA14_MeOH
-7331 10941 R00X070Y042 PA14_MeOH
-6831 10941 R00X071Y042 PA14_MeOH
-6331 10941 R00X072Y042 PA14_MeOH
-5831 10941 R00X073Y042 PA14_MeOH
-5331 10941 R00X074Y042 PA14_MeOH
-4831 10941 R00X075Y042 PA14_MeOH
-4331 10941 R00X076Y042 PA14_MeOH
-3831 10941 R00X077Y042 PA14_MeOH
-3331 10941 R00X078Y042 PA14_MeOH
-2831 10941 R00X079Y042 PA14_MeOH
-2331 10941 R00X080Y042 PA14_MeOH
-24831 10441 R00X035Y043 PA14_MeOH
-24331 10441 R00X036Y043 PA14_MeOH
-23831 10441 R00X037Y043 PA14_MeOH
-23331 10441 R00X038Y043 PA14_MeOH
