# E:\vitek_sdgmm_preprint\pseudomonas\imzml\PA14_TLCA_2019-05-06.txt generated by flexImaging 4.1.116.257 on 2019-11-22 10:46:21
# X-pos Y-pos spot-name region
-6797 14748 R00X100Y048 MeOH
-6297 14748 R00X101Y048 MeOH
-5797 14748 R00X102Y048 MeOH
-5297 14748 R00X103Y048 MeOH
-4797 14748 R00X104Y048 MeOH
-4297 14748 R00X105Y048 MeOH
-3797 14748 R00X106Y048 MeOH
-3297 14748 R00X107Y048 MeOH
-2797 14748 R00X108Y048 MeOH
-2297 14748 R00X109Y048 MeOH
-1797 14748 R00X110Y048 MeOH
-1297 14748 R00X111Y048 MeOH
-797 14748 R00X112Y048 MeOH
-22297 14248 R00X069Y049 MeOH
-21797 14248 R00X070Y049 MeOH
-21297 14248 R00X071Y049 MeOH
-20797 14248 R00X072Y049 MeOH
-20297 14248 R00X073Y049 MeOH
-19797 14248 R00X074Y049 MeOH
-19297 14248 R00X075Y049 MeOH
-18797 14248 R00X076Y049 MeOH
-18297 14248 R00X077Y049 MeOH
-17797 14248 R00X078Y049 MeOH
-17297 14248 R00X079Y049 MeOH
-16797 14248 R00X080Y049 MeOH
-16297 14248 R00X081Y049 MeOH
-15797 14248 R00X082Y049 MeOH
-15297 14248 R00X083Y049 MeOH
-14797 14248 R00X084Y049 MeOH
-14297 14248 R00X085Y049 MeOH
-13797 14248 R00X086Y049 MeOH
-13297 14248 R00X087Y049 MeOH
-12797 14248 R00X088Y049 MeOH
-12297 14248 R00X089Y049 MeOH
-11797 14248 R00X090Y049 MeOH
-11297 14248 R00X091Y049 MeOH
-10797 14248 R00X092Y049 MeOH
-10297 14248 R00X093Y049 MeOH
-9797 14248 R00X094Y049 MeOH
-9297 14248 R00X095Y049 MeOH
-8797 14248 R00X096Y049 MeOH
-8297 14248 R00X097Y049 MeOH
-7797 14248 R00X098Y049 MeOH
-7297 14248 R00X099Y049 MeOH
-6797 14248 R00X100Y049 MeOH
-6297 14248 R00X101Y049 MeOH
-5797 14248 R00X102Y049 MeOH
-5297 14248 R00X103Y049 MeOH
-4797 14248 R00X104Y049 MeOH
-4297 14248 R00X105Y049 MeOH
-3797 14248 R00X106Y049 MeOH
-3297 14248 R00X107Y049 MeOH
-2797 14248 R00X108Y049 MeOH
-2297 14248 R00X109Y049 MeOH
-1797 14248 R00X110Y049 MeOH
-1297 14248 R00X111Y049 MeOH
-797 14248 R00X112Y049 MeOH
-23797 13748 R00X066Y050 MeOH
-23297 13748 R00X067Y050 MeOH
-22797 13748 R00X068Y050 MeOH
-22297 13748 R00X069Y050 MeOH
-21797 13748 R00X070Y050 MeOH
-21297 13748 R00X071Y050 MeOH
-20797 13748 R00X072Y050 MeOH
-20297 13748 R00X073Y050 MeOH
-19797 13748 R00X074Y050 MeOH
-19297 13748 R00X075Y050 MeOH
-18797 13748 R00X076Y050 MeOH
-18297 13748 R00X077Y050 MeOH
-17797 13748 R00X078Y050 MeOH
-17297 13748 R00X079Y050 MeOH
-16797 13748 R00X080Y050 MeOH
-16297 13748 R00X081Y050 MeOH
-15797 13748 R00X082Y050 MeOH
-15297 13748 R00X083Y050 MeOH
-14797 13748 R00X084Y050 MeOH
-14297 13748 R00X085Y050 MeOH
-13797 13748 R00X086Y050 MeOH
-13297 13748 R00X087Y050 MeOH
-12797 13748 R00X088Y050 MeOH
-12297 13748 R00X089Y050 MeOH
-11797 13748 R00X090Y050 MeOH
-11297 13748 R00X091Y050 MeOH
-10797 13748 R00X092Y050 MeOH
-10297 13748 R00X093Y050 MeOH
-9797 13748 R00X094Y050 MeOH
-9297 13748 R00X095Y050 MeOH
-8797 13748 R00X096Y050 MeOH
-8297 13748 R00X097Y050 MeOH
-7797 13748 R00X098Y050 MeOH
-7297 13748 R00X099Y050 MeOH
-6797 13748 R00X100Y050 MeOH
-6297 13748 R00X101Y050 MeOH
-5797 13748 R00X102Y050 MeOH
-5297 13748 R00X103Y050 MeOH
-4797 13748 R00X104Y050 MeOH
-4297 13748 R00X105Y050 MeOH
-3797 13748 R00X106Y050 MeOH
-3297 13748 R00X107Y050 MeOH
-2797 13748 R00X108Y050 MeOH
-2297 13748 R00X109Y050 MeOH
-1797 13748 R00X110Y050 MeOH
-1297 13748 R00X111Y050 MeOH
-797 13748 R00X112Y050 MeOH
-24797 13248 R00X064Y051 MeOH
-24297 13248 R00X065Y051 MeOH
-23797 13248 R00X066Y051 MeOH
-23297 13248 R00X067Y051 MeOH
-22797 13248 R00X068Y051 MeOH
-22297 13248 R00X069Y051 MeOH
-21797 13248 R00X070Y051 MeOH
-21297 13248 R00X071Y051 MeOH
-20797 13248 R00X072Y051 MeOH
-20297 13248 R00X073Y051 MeOH
-19797 13248 R00X074Y051 MeOH
-19297 13248 R00X075Y051 MeOH
-18797 13248 R00X076Y051 MeOH
-18297 13248 R00X077Y051 MeOH
-17797 13248 R00X078Y051 MeOH
-17297 13248 R00X079Y051 MeOH
-16797 13248 R00X080Y051 MeOH
-16297 13248 R00X081Y051 MeOH
-15797 13248 R00X082Y051 MeOH
-15297 13248 R00X083Y051 MeOH
-14797 13248 R00X084Y051 MeOH
-14297 13248 R00X085Y051 MeOH
-13797 13248 R00X086Y051 MeOH
-13297 13248 R00X087Y051 MeOH
-12797 13248 R00X088Y051 MeOH
-12297 13248 R00X089Y051 MeOH
-11797 13248 R00X090Y051 MeOH
-11297 13248 R00X091Y051 MeOH
-10797 13248 R00X092Y051 MeOH
-10297 13248 R00X093Y051 MeOH
-9797 13248 R00X094Y051 MeOH
-9297 13248 R00X095Y051 MeOH
-8797 13248 R00X096Y051 MeOH
-8297 13248 R00X097Y051 MeOH
-7797 13248 R00X098Y051 MeOH
-7297 13248 R00X099Y051 MeOH
-6797 13248 R00X100Y051 MeOH
-6297 13248 R00X101Y051 MeOH
-5797 13248 R00X102Y051 MeOH
-5297 13248 R00X103Y051 MeOH
-4797 13248 R00X104Y051 MeOH
-4297 13248 R00X105Y051 MeOH
-3797 13248 R00X106Y051 MeOH
-3297 13248 R00X107Y051 MeOH
-2797 13248 R00X108Y051 MeOH
-2297 13248 R00X109Y051 MeOH
-1797 13248 R00X110Y051 MeOH
-1297 13248 R00X111Y051 MeOH
-797 13248 R00X112Y051 MeOH
-24797 12748 R00X064Y052 MeOH
-24297 12748 R00X065Y052 MeOH
-23797 12748 R00X066Y052 MeOH
-23297 12748 R00X067Y052 MeOH
-22797 12748 R00X068Y052 MeOH
-22297 12748 R00X069Y052 MeOH
-21797 12748 R00X070Y052 MeOH
-21297 12748 R00X071Y052 MeOH
-20797 12748 R00X072Y052 MeOH
-20297 12748 R00X073Y052 MeOH
-19797 12748 R00X074Y052 MeOH
-19297 12748 R00X075Y052 MeOH
-18797 12748 R00X076Y052 MeOH
-18297 12748 R00X077Y052 MeOH
-17797 12748 R00X078Y052 MeOH
-17297 12748 R00X079Y052 MeOH
-16797 12748 R00X080Y052 MeOH
-16297 12748 R00X081Y052 MeOH
-15797 12748 R00X082Y052 MeOH
-15297 12748 R00X083Y052 MeOH
-14797 12748 R00X084Y052 MeOH
-14297 12748 R00X085Y052 MeOH
-13797 12748 R00X086Y052 MeOH
-13297 12748 R00X087Y052 MeOH
-12797 12748 R00X088Y052 MeOH
-12297 12748 R00X089Y052 MeOH
-11797 12748 R00X090Y052 MeOH
-11297 12748 R00X091Y052 MeOH
-10797 12748 R00X092Y052 MeOH
-10297 12748 R00X093Y052 MeOH
-9797 12748 R00X094Y052 MeOH
-9297 12748 R00X095Y052 MeOH
-8797 12748 R00X096Y052 MeOH
-8297 12748 R00X097Y052 MeOH
-7797 12748 R00X098Y052 MeOH
-7297 12748 R00X099Y052 MeOH
-6797 12748 R00X100Y052 MeOH
-6297 12748 R00X101Y052 MeOH
-5797 12748 R00X102Y052 MeOH
-5297 12748 R00X103Y052 MeOH
-4797 12748 R00X104Y052 MeOH
-4297 12748 R00X105Y052 MeOH
-3797 12748 R00X106Y052 MeOH
-3297 12748 R00X107Y052 MeOH
-2797 12748 R00X108Y052 MeOH
-2297 12748 R00X109Y052 MeOH
-1797 12748 R00X110Y052 MeOH
-1297 12748 R00X111Y052 MeOH
-797 12748 R00X112Y052 MeOH
-24797 12248 R00X064Y053 MeOH
-24297 12248 R00X065Y053 MeOH
-23797 12248 R00X066Y053 MeOH
-23297 12248 R00X067Y053 MeOH
-22797 12248 R00X068Y053 MeOH
-22297 12248 R00X069Y053 MeOH
-21797 12248 R00X070Y053 MeOH
-21297 12248 R00X071Y053 MeOH
-20797 12248 R00X072Y053 MeOH
-20297 12248 R00X073Y053 MeOH
-19797 12248 R00X074Y053 MeOH
-19297 12248 R00X075Y053 MeOH
-18797 12248 R00X076Y053 MeOH
-18297 12248 R00X077Y053 MeOH
-17797 12248 R00X078Y053 MeOH
-17297 12248 R00X079Y053 MeOH
-16797 12248 R00X080Y053 MeOH
-16297 12248 R00X081Y053 MeOH
-15797 12248 R00X082Y053 MeOH
-15297 12248 R00X083Y053 MeOH
-14797 12248 R00X084Y053 MeOH
-14297 12248 R00X085Y053 MeOH
-13797 12248 R00X086Y053 MeOH
-13297 12248 R00X087Y053 MeOH
-12797 12248 R00X088Y053 MeOH
-12297 12248 R00X089Y053 MeOH
-11797 12248 R00X090Y053 MeOH
-11297 12248 R00X091Y053 MeOH
-10797 12248 R00X092Y053 MeOH
-10297 12248 R00X093Y053 MeOH
-9797 12248 R00X094Y053 MeOH
-9297 12248 R00X095Y053 MeOH
-8797 12248 R00X096Y053 MeOH
-8297 12248 R00X097Y053 MeOH
-7797 12248 R00X098Y053 MeOH
-7297 12248 R00X099Y053 MeOH
-6797 12248 R00X100Y053 MeOH
-6297 12248 R00X101Y053 MeOH
-5797 12248 R00X102Y053 MeOH
-5297 12248 R00X103Y053 MeOH
-4797 12248 R00X104Y053 MeOH
-4297 12248 R00X105Y053 MeOH
-3797 12248 R00X106Y053 MeOH
-3297 12248 R00X107Y053 MeOH
-2797 12248 R00X108Y053 MeOH
-2297 12248 R00X109Y053 MeOH
-1797 12248 R00X110Y053 MeOH
-1297 12248 R00X111Y053 MeOH
-797 12248 R00X112Y053 MeOH
-24797 11748 R00X064Y054 MeOH
-24297 11748 R00X065Y054 MeOH
-23797 11748 R00X066Y054 MeOH
-23297 11748 R00X067Y054 MeOH
-22797 11748 R00X068Y054 MeOH
-22297 11748 R00X069Y054 MeOH
-21797 11748 R00X070Y054 MeOH
-21297 11748 R00X071Y054 MeOH
-20797 11748 R00X072Y054 MeOH
-20297 11748 R00X073Y054 MeOH
-19797 11748 R00X074Y054 MeOH
-19297 11748 R00X075Y054 MeOH
-18797 11748 R00X076Y054 MeOH
-18297 11748 R00X077Y054 MeOH
-17797 11748 R00X078Y054 MeOH
-17297 11748 R00X079Y054 MeOH
-16797 11748 R00X080Y054 MeOH
-16297 11748 R00X081Y054 MeOH
-15797 11748 R00X082Y054 MeOH
-15297 11748 R00X083Y054 MeOH
-14797 11748 R00X084Y054 MeOH
-14297 11748 R00X085Y054 MeOH
-13797 11748 R00X086Y054 MeOH
-13297 11748 R00X087Y054 MeOH
-12797 11748 R00X088Y054 MeOH
-12297 11748 R00X089Y054 MeOH
-11797 11748 R00X090Y054 MeOH
-11297 11748 R00X091Y054 MeOH
